files_changed,services_modified,commit_hour,test_coverage_delta,failed_tests,build_duration_min,prev_deploy_success_rate,author_failure_rate,days_since_last_deploy,failed
39,5,7,-7.99,0,18.7,0.57,0.28,4,0
29,2,10,0.34,1,13.2,0.72,0.29,11,0
15,2,8,-6.96,1,9.0,0.81,0.34,4,0
43,5,4,-5.4,0,13.1,0.74,0.11,6,0
8,4,13,-2.45,4,15.9,0.7,0.32,8,1
21,2,2,2.47,1,3.2,1.0,0.08,10,0
39,4,20,4.68,0,8.8,0.94,0.14,8,0
19,2,4,0.37,1,17.0,0.81,0.13,8,0
23,2,4,-6.64,2,8.3,0.78,0.39,5,1
11,3,18,-6.57,4,11.9,0.81,0.34,9,1
11,2,13,-0.25,3,12.2,0.6,0.28,5,1
24,1,3,-10.22,1,4.5,0.7,0.29,2,1
36,5,12,-12.79,2,7.9,0.52,0.22,0,1
40,5,9,-7.91,3,7.4,0.74,0.38,6,1
24,4,17,-9.26,3,1.5,0.77,0.2,3,0
3,2,7,-9.07,1,1.5,0.61,0.15,0,0
22,1,7,-10.33,0,16.8,0.98,0.07,7,0
2,4,6,-14.16,1,6.2,0.95,0.31,11,0
24,3,7,-14.64,2,10.8,0.86,0.29,5,1
44,4,13,4.75,3,6.7,0.77,0.15,5,0
30,4,18,-6.44,1,18.9,0.93,0.01,1,0
38,2,5,-7.31,0,5.9,0.57,0.34,0,1
2,3,0,-1.41,1,9.2,0.9,0.0,12,0
21,4,22,-10.63,4,17.6,0.56,0.28,13,1
33,1,14,4.0,0,17.0,0.9,0.39,13,0
12,1,0,0.73,2,4.5,0.64,0.18,1,0
22,5,16,-13.21,3,16.3,0.94,0.09,3,1
44,3,0,-6.65,1,9.7,0.97,0.28,1,1
25,3,14,2.58,0,10.2,0.57,0.33,0,0
49,5,22,3.89,4,3.5,0.73,0.22,6,1
27,4,1,-5.65,0,2.5,0.99,0.39,10,1
42,3,13,-2.73,4,14.8,0.74,0.02,10,1
28,1,20,-11.66,2,10.4,0.93,0.2,11,0
16,1,7,4.82,3,9.3,0.79,0.29,7,0
15,2,7,-10.37,2,14.9,0.69,0.35,5,0
47,3,18,3.85,1,15.5,0.64,0.07,3,0
44,4,6,-2.01,0,4.0,0.6,0.32,13,0
3,5,18,-2.85,4,12.6,0.88,0.22,5,1
37,5,5,-4.75,4,3.6,0.69,0.16,2,1
7,4,5,-10.39,0,15.3,0.76,0.05,11,1
